,Unnamed: 0,HITId,tweet,sentiment,directness,annotator_sentiment,target,group,label_mix,clean_tw,cluster
0,5517,5518, called son retarded call son that... @url,offensive,indirect,anger_fear_shock_indifference_disgust,other,special_needs,other_special_needs,called son retarded call son ,11
1,460,461, either crazy retarded thin line separates could ,normal,indirect,anger_confusion_fear_shock_disgust,gender,women,gender_women,either crazy retarded thin line separates could,11
2,2976,2977, gfs sister high offered tight pussy amazing tight fresh cunt @url,offensive_disrespectful,indirect,sadness_disgust,gender,women,gender_women,gfs sister high offered tight pussy amazing tight fresh cunt,19
3,102,103, gimme break gimme break. break piece fat retard  @url,disrespectful,indirect,indifference_disgust,other,other,other_other,gimme break gimme break break piece fat retard,19
4,2139,2140, groupforsissiesandfaggots: another sissy faggot crave attention @user ready suck big... @url,offensive,indirect,shock_indifference,sexual_orientation,gay,sexual_orientation_gay,groupforsissiesandfaggots another sissy faggot crave attention ready suck big ,9
5,2543,2544, people retarded af! call 12 talking wreck ,normal,indirect,anger_sadness_shock_indifference_disgust,other,special_needs,other_special_needs,people retarded call twelve talking wreck,11
6,1886,1887, time de ficar mongol @url,normal,indirect,anger_confusion,origin,other,origin_other,time ficar mongol,5
7,3226,3227, trump definitely retarded,hateful_disrespectful,indirect,anger_sadness,disability,special_needs,disability_special_needs,trump definitely retarded,11
8,1037,1038, tweeters love words (30 days): spooky fuck play fate moist  bitch choice cunt whore coochie genuine cock @url,offensive,indirect,sadness_indifference,gender,women,gender_women,tweeters love words number days spooky fuck play fate moist bitch choice cunt whore coochie genuine cock,15
9,777,778,#737 what's 8-letter word retarded'? -cavemanengi,disrespectful_normal,indirect,anger_indifference,other,special_needs,other_special_needs, number number letter word retarded cavemanengi,11
10,2807,2808,#clocksback cunt insomnia......don't poke bear today @url,fearful_abusive_hateful_disrespectful_normal,indirect,anger_sadness_shock_indifference_disgust,gender,other,gender_other,clocks back cunt insomnia poke bear today,4
11,4085,4086,#dagga #marijuana #weed #cannabis #southafrica #africa @url,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,other,origin_other,dagga marijuana weed cannabis south africa africa,22
12,2863,2864,#democrats defend illegal aliens support sanctuary cities create racial divide back fund pp tissue @url,normal,indirect,anger_fear_shock_indifference_sadness,other,other,other_other,democrats defend illegal aliens support sanctuary cities create racial divide back fund tissue,8
13,4354,4355,#desperatedems messed suspicious packages bomb threat narrative way trum @url,offensive,indirect,sadness_indifference,other,other,other_other,desperate dems messed suspicious packages bomb threat narrative way trum,12
14,209,210,#dodamage slogan unbelievably stupid. every offense's goal damage. gives mongoloid boston f @url,fearful_abusive_offensive_hateful_disrespectful,indirect,shock_indifference,disability,special_needs,disability_special_needs, damage slogan unbelievably stupid every offense goal damage gives mongoloid boston f,13
15,711,712,#dtmag border patrol agents discover nearly 200 illegal immigrants remote arizona desert @url,fearful_normal,indirect,anger_disgust,origin,immigrants,origin_immigrants,dt mag border patrol agents discover nearly two hundred illegal immigrants remote arizona desert,24
16,1910,1911,#feminazi,offensive,indirect,shock_disgust,gender,women,gender_women,feminazi,5
17,2979,2980,#feminists called #feminazi @url,offensive,indirect,indifference_disgust,origin,women,origin_women,feminists called feminazi,7
18,358,359,#feminization #coercedfem #faggot #sissification #sluttraining watch clip @url @url,offensive,indirect,sadness_disgust,sexual_orientation,special_needs,sexual_orientation_special_needs,feminization coerced fem faggot sissi fication slut training watch clip,19
19,4250,4251,#fridayfeeling #heritageday #joyjoy #landexpropriation #betterafricabetterworld @url,offensive,indirect,anger_confusion_sadness_indifference,gender,other,gender_other,friday feeling heritage day joy joy land expropriation better africa better world,25
20,427,428,#kpop auto-tune ching chong,offensive,indirect,anger_sadness,origin,hispanics,origin_hispanics,kpop auto tune ching chong,0
21,5494,5495,#lemotdujour retard,abusive_offensive_hateful_disrespectful_normal,indirect,sadness_disgust,disability,special_needs,disability_special_needs,le mot jour retard,7
22,2352,2353,#libtards dumb. name theif political ideology comes word retard even realize @url,offensive,indirect,anger_confusion_sadness_indifference_fear,disability,other,disability_other,lib tards dumb name theif political ideology comes word retard even realize,14
23,2704,2705,#looneyleftys answer last question! #despicabledemocrats #hollywoodhasbeens #hollywoodhypocrites @url,normal,indirect,indifference_disgust,other,other,other_other,looney left answer last question despicable democrats hollywood beens hollywood hypocrites,14
24,3531,3532,#maga assholes turned america shithole country...,hateful,indirect,anger_disgust,other,other,other_other,maga assholes turned america shithole country ,4
25,3559,3560,#magabomber fucking way hell anybody would send bomb themselves.nnthats retarded. you'r @url,fearful_disrespectful,indirect,anger_indifference,disability,special_needs,disability_special_needs,maga bomber fucking way hell anybody would send bomb nnthats retarded r,9
26,4871,4872,#magabomber not:nmexicannblacknasylum seekernmuslimncitizen shithole countryncitizen terrorist country @url,offensive_hateful,indirect,anger_indifference,origin,other,origin_other,maga bomber nmexicannblacknasylum seekernmuslimncitizen shithole countryncitizen terrorist country,17
27,4252,4253,#mongol #warriors ambush tumed feast 1216/1217. learn video campaign:@url @url,offensive,indirect,confusion_sadness_shock_indifference_disgust,disability,other,disability_other,mongol warriors ambush tumed feast number number learn video campaign ,4
28,5469,5470,#naankuse #volunteerafrica #wildlife #conservation #fridays #animals #chac,offensive,indirect,sadness_disgust,other,other,other_other,naankuse volunteer africa wildlife conservation fridays animals chac,22
29,5572,5573,#namibiaholidays - #travel guide tips reviews #africa #tourism #frizemedia @url via @user,normal,indirect,shock_indifference,origin,special_needs,origin_special_needs,namibia holidays travel guide tips reviews africa tourism frize media via,3
30,2906,2907,#newprofilepic ching chong 100 @url,normal,indirect,confusion_indifference,origin,other,origin_other,new profile pic ching chong one hundred,0
31,876,877,#nyc #newyork #newyorkcity #art #artist #gay #faggot #pouredpaint #acrylicpainting #acrylicpouring #queer #dark @user n @url,offensive,indirect,indifference_disgust,sexual_orientation,other,sexual_orientation_other,nyc new york new york city art artist gay faggot poured paint acrylic painting acrylic pouring queer dark n,12
32,4747,4748,#pakistan's pm #imrankhan promised citizenship refugees #afghanistan #bangladesh born pakistani @url,disrespectful_normal,indirect,anger_confusion_sadness_indifference_disgust,disability,other,disability_other,pakistan pm imran khan promised citizenship refugees afghanistan bangladesh born pakistani,8
33,2640,2641,#portland grants $500k immigrants' #attorneyfees @url,abusive_normal,indirect,fear_shock,origin,immigrants,origin_immigrants,portland grants money immigrants attorney fees,3
34,2254,2255,#safepathways way #refugees #refugeeswelcome @url,hateful_normal,indirect,sadness_disgust,origin,refugees,origin_refugees,safe pathways way refugees refugees welcome,3
35,5390,5391,#scomo #auspol #truth #truthhurts #refugees #a,offensive,indirect,anger_confusion_shock_indifference_disgust,other,other,other_other,sco aus pol truth truth hurts refugees ,3
36,1731,1732,#shithole country: road bumps signage blamed deadly night accident naivasha. say @user @url,offensive_normal,indirect,sadness_indifference,origin,other,origin_other,shithole country road bumps signage blamed deadly night accident naivasha say,14
37,121,122,#shitholecountry leave?nnoh yeah....because shithole country overran @url,hateful,indirect,fear_shock_indifference_sadness_disgust,origin,other,origin_other,shithole country leave nnoh yeah shithole country overran,1
38,947,948,#soberanalysis nshould viralnmsm gone full retard. @url,offensive_hateful,indirect,anger_indifference,disability,special_needs,disability_special_needs,sober analysis nshould viralnmsm gone full retard ,13
39,3852,3853,#sondage #france #migrants,normal,indirect,anger_shock,origin,refugees,origin_refugees,sondage france migrants,7
40,1822,1823,#southafrica,normal,indirect,confusion_indifference,origin,other,origin_other,south africa,5
41,3303,3304,#staranurag @user @url,normal,indirect,sadness_disgust,other,other,other_other,star anurag,5
42,1149,1150,#swedish feminist (they retarded dangerous)nnin 2017 7200 rapes reported police @url,offensive,indirect,sadness_shock,origin,special_needs,origin_special_needs,swedish feminist retarded dangerous nnin two thousand seventeen seven thousand two hundred rapes reported police,24
43,1702,1703,#taylorgangor get ur teeth fixed dr. faggot,offensive,direct,confusion_shock,other,individual,other_individual,taylor gang get teeth fixed faggot,22
44,1186,1187,#transdayofvisibility #tdov hi chess trans dyke cannot stop recycling pictures @url,offensive,indirect,anger_indifference,sexual_orientation,other,sexual_orientation_other,trans day visibility ov chess trans dyke cannot stop recycling pictures,4
45,1796,1797,#ugandan government warned people ( foreign spies ) disguise refugees undermine security c @url,offensive,indirect,anger_fear_shock_sadness_disgust,origin,refugees,origin_refugees,ugandan government warned people foreign spies disguise refugees undermine security c,14
46,5239,5240,#usa becomes #shithole country #illegal uncontrolled immigration distant futur @url,hateful,indirect,anger_disgust,origin,special_needs,origin_special_needs,usa becomes shithole country illegal uncontrolled immigration distant futur,24
47,5254,5255,#votered #stfu enjoy #shithole full ppl shithole countries ! 1st,offensive,indirect,anger_confusion_sadness_indifference_fear,origin,immigrants,origin_immigrants,vote red stfu enjoy shithole full ppl shithole countries st,2
48,284,285,#xfactor2018 twat panel plastic yank voice ? ffs annoying sound i've ever @url,offensive,indirect,anger_fear_shock_sadness_disgust,other,other,other_other,xfactor2018 twat panel plastic yank voice ffs annoying sound ever,25
49,1998,1999,&amp; retarded ass done sent damn feelings text message,offensive,indirect,shock_disgust,disability,special_needs,disability_special_needs, retarded ass done sent damn feelings text message,13
50,199,200,&gt;if people truly matter even one retarded hold much importancennthey @url,fearful_abusive,indirect,indifference_disgust,disability,special_needs,disability_special_needs, people truly matter even one retarded hold much importancennthey,4
51,3041,3042,&gt;implying i'm faggot,offensive,indirect,anger_confusion_fear_indifference_disgust,sexual_orientation,other,sexual_orientation_other, implying faggot,7
52,875,876,&gt;orders ching chongn2018-10-25 12:49belgium item held customs awaiting presentation customs commissione @url,abusive_offensive_hateful_disrespectful_normal,indirect,anger_indifference,origin,other,origin_other, orders ching chongn2018 number number time belgium item held customs awaiting presentation customs commissione,21
53,1692,1693,'daniel o'donnell bono.' bono's fucking insufferable robbie twat. would anybody wanna aspire lik @url,offensive,indirect,anger_confusion_shock_indifference_disgust,other,individual,other_individual, daniel donnell bono bono fucking insufferable robbie twat would anybody wanna aspire lik,1
54,4350,4351,'humanitarian emergency': doctors demand refugees moved nauru | sbs news @url via @user,fearful_normal,indirect,anger_fear_shock_indifference_disgust,origin,refugees,origin_refugees, humanitarian emergency doctors demand refugees moved nauru sbs news via,8
55,3056,3057,'militia' let loose refugees ar,offensive,indirect,sadness_disgust,origin,refugees,origin_refugees, militia let loose refugees ar,7
56,991,992,'sink swim' common phrase streets nairobi. work a** go back country.,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,indian/hindu,origin_indian/hindu, sink swim common phrase streets nairobi work back country ,4
57,5644,5645,(2/2) like fucking twat i'm damage heal you. ran biotic energy. gu @url,hateful,indirect,anger_shock_indifference_disgust,other,special_needs,other_special_needs, number number like fucking twat damage heal ran biotic energy gu,19
58,130,131,(i reclaim retard dont get mad),offensive,indirect,fear_shock_indifference_sadness_disgust,disability,special_needs,disability_special_needs, reclaim retard dont get mad ,11
59,1386,1387,*deep slave nigger sigh*,offensive,indirect,anger_disgust,origin,special_needs,origin_special_needs, deep slave nigger sigh ,7
60,1541,1542,*high pitched ching chong* @url,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,asians,origin_asians, high pitched ching chong ,0
61,5550,5551,*sgt crazy retarded impossible time hack pt* change ocps back b co 3 minutes fall @url,offensive,indirect,anger_fear_shock_sadness_disgust,other,other,other_other, sgt crazy retarded impossible time hack change ocps back co three minutes fall,13
62,3364,3365,*speaks ching chong ko @url,offensive,indirect,anger_confusion_fear_sadness_disgust,origin,muslims,origin_muslims, speaks ching chong ko,0
63,3338,3339,*stares nigger* @url,offensive,indirect,sadness_indifference,origin,other,origin_other, stares nigger ,5
64,1836,1837,+you're faggot harry.nn-i'm a... what?!nn+harry faggot.nn-i'm what?!nn+a foggot harry.nn-i'm faggo @url,offensive,indirect,anger_confusion_shock_indifference_disgust,sexual_orientation,gay,sexual_orientation_gay, faggot harry harry faggot foggot harry faggo,22
65,3513,3514,- anonymous started emerging activism retard masksn- parts 4chan supported ideologies followi @url,offensive,indirect,anger_disgust,disability,special_needs,disability_special_needs, anonymous started emerging activism retard masksn parts chan supported ideologies followi,14
66,2019,2020,- smh people still saying nigger 2018? 60s? @url,offensive,indirect,anger_confusion_fear_shock_disgust,origin,african_descent,origin_african_descent, smh people still saying nigger number zero ,18
67,3593,3594,- syria seen least 500000 deaths 11 million refugees. nothing happened libya comes clos,hateful_normal,indirect,anger_fear,origin,other,origin_other, syria seen least five hundred thousand deaths eleven million refugees nothing happened libya comes clos,24
68,3337,3338,- yeah im bad person. feminazi monster - doesnt negate facts.,offensive,indirect,anger_disgust,gender,women,gender_women, yeah bad person feminazi monster doesnt negate facts ,23
69,4374,4375,-sighed. please stop saying ching chong. really racist mean. put pinky fuck u lolol sig @url,normal,indirect,confusion_fear,origin,muslims,origin_muslims, sighed please stop saying ching chong really racist mean put pinky fuck lolol sig,21
70,1548,1549,..... swaggy retard,offensive,indirect,anger_shock,disability,special_needs,disability_special_needs, swaggy retard,7
71,5172,5173,...alex jones's attacks (on sandy hook victims) companies say hang guy's huge cunt spreads h @url,offensive,indirect,anger_confusion,other,other,other_other, alex jones attacks sandy hook victims companies say hang guy huge cunt spreads h,14
72,1426,1427,...and mongoloid copy red alert 2 decided fail mission 3 apparent reason apparently bec @url,offensive,indirect,sadness_indifference,origin,immigrants,origin_immigrants, mongoloid copy red alert two decided fail mission three apparent reason apparently bec,4
73,5220,5221,...anti-semitism betokens retarded culturen- frederick engels 1890,offensive_hateful,indirect,anger_sadness,disability,special_needs,disability_special_needs, anti semitism betokens retarded culturen frederick engels one thousand eight hundred ninety,24
74,4232,4233,...but shithole countries? @url,offensive,indirect,sadness_disgust,origin,other,origin_other, shithole countries ,5
75,3529,3530,...fun hear brother refer faggot thinks can't hear him.,offensive,indirect,fear_shock,sexual_orientation,other,sexual_orientation_other, fun hear brother refer faggot thinks hear ,18
76,5399,5400,...the people shithole countries everyone calls mob really wishes people @url,offensive_normal,indirect,sadness_disgust,origin,other,origin_other, people shithole countries everyone calls mob really wishes people,2
77,1216,1217,...why trash australia make another shithole country.... @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,women,origin_women, trash australia make another shithole country ,18
78,388,389,..why illegal aliens allowed mobile phones? @url,hateful,indirect,anger_indifference,origin,other,origin_other, illegal aliens allowed mobile phones ,3
79,5633,5634,.@user america favor stop giving hateful leftist reporters privilege asking @url,normal,indirect,anger_fear_shock_sadness_disgust,other,other,other_other, america favor stop giving hateful leftist reporters privilege asking,14
80,1772,1773,.@user spic,offensive,indirect,anger_confusion,origin,hispanics,origin_hispanics, spic,5
81,5545,5546,.@user total idiots. accusers feminazi never trumpers admit dr @url,offensive,indirect,anger_sadness,gender,women,gender_women, total idiots accusers feminazi never trumpers admit dr,14
82,2666,2667,/ chin chin; i'm surprised could even get gfnnamanda: yeah well fuck u u fucking burnt turd faggot we've almos @url,offensive,indirect,anger_fear_indifference_sadness_disgust,sexual_orientation,other,sexual_orientation_other, chin chin surprised could even get gfnnamanda yeah well fuck u fucking burnt turd faggot almos,15
83,4109,4110,/:/ everyone report @user . cunt role playing child. fucked prison!,normal,indirect,shock_indifference,other,other,other_other, everyone report cunt role playing child fucked prison ,8
84,1519,1520,/pol/ currently busy building suspicious devices @url,fearful_offensive_disrespectful_hateful_normal,indirect,fear_disgust,origin,other,origin_other, pol currently busy building suspicious devices,3
85,2672,2673,0 stupid little retard @url,offensive,direct,anger_fear_indifference_sadness_disgust,gender,special_needs,gender_special_needs,zero stupid little retard,7
86,40,41,1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,normal,indirect,shock_indifference,other,other,other_other,one box pencil mongol number pencil case may blessing holy water quiapo jude ,4
87,333,334,1. fear mongering refugees loitering international waters waiting labo,normal,indirect,anger_fear_indifference_sadness_disgust,origin,individual,origin_individual,number fear mongering refugees loitering international waters waiting labo,8
88,134,135,1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url,hateful,indirect,anger_confusion_fear_shock_sadness,origin,other,origin_other,number zero four middle eastern leftist calling largest terrorist attempt since number number nnbut,14
89,843,844,10 minutes faggot,offensive,direct,anger_fear_shock_indifference_sadness,origin,left_wing_people,origin_left_wing_people,ten minutes faggot,7
90,2654,2655,10th mongol derby (@user longest toughest horse race world 1000 km across mo @url,offensive,indirect,confusion_indifference,other,other,other_other,one th mongol derby longest toughest horse race world one thousand across mo,4
91,300,301,11. told parents. parents immigrants didnt know report it. wife aunt fo @url,offensive,indirect,anger_indifference,origin,immigrants,origin_immigrants,number told parents parents immigrants didnt know report wife aunt fo,8
92,350,351,12 illegal immigrants criminal convictions fraudulently claimed @url,offensive,indirect,anger_fear_indifference_sadness_disgust,origin,immigrants,origin_immigrants,twelve illegal immigrants criminal convictions fraudulently claimed,8
93,5092,5093,12 years old told  rape family fucking nigger spic bitch 25 kill @url,abusive_hateful,direct,confusion_disgust,origin,hispanics,origin_hispanics,twelve years old told rape family fucking nigger spic bitch twenty five kill,12
94,1681,1682,13 year old called faggot jdjsskaksja simulation glitching,fearful_abusive_offensive_hateful_normal,indirect,sadness_indifference,other,other,other_other,thirteen year old called faggot jdjsskaksja simulation glitching,13
95,178,179,15 mins netflix &amp; chill called faggot,offensive,indirect,anger_sadness_shock_indifference_disgust,sexual_orientation,other,sexual_orientation_other,fifteen mins netflix chill called faggot,22
96,2177,2178,16: might g-gay like using labels we're people clothes!nme now: yeah i'm fucking faggot,normal,indirect,anger_fear,sexual_orientation,gay,sexual_orientation_gay,number might gay like using labels people clothes nme yeah fucking faggot,19
97,426,427,18. enter illegal aliens. @user used model created bay area politicians like @user repl @url,fearful_abusive_offensive_hateful_normal,indirect,confusion_sadness,origin,immigrants,origin_immigrants,number enter illegal aliens used model created bay area politicians like repl,8
98,1065,1066,1924 pascua village settlement yaqui refugees town. three sisters. first @url,offensive,indirect,sadness_disgust,origin,other,origin_other,one thousand nine hundred twenty four pascua village settlement yaqui refugees town three sisters first,24
99,532,533,1v1 riot shields round 11 cunt fuck game cunt,offensive,indirect,anger_indifference,gender,women,gender_women,one riot shields round eleven cunt fuck game cunt,22
100,5272,5273,2 hitter andslobertstakes fuck overmanaging mongoloid idiot hell.,offensive,direct,anger_confusion_sadness_shock_indifference,disability,special_needs,disability_special_needs,two hitter andslobertstakes fuck overmanaging mongoloid idiot hell ,9
101,1932,1933,200 years tradition welcoming immigrants around world given us tremendous advantage,offensive,indirect,anger_sadness_shock_indifference_disgust,other,other,other_other,two hundred years tradition welcoming immigrants around world given tremendous advantage,24
102,1609,1610,2017 right-wing terrorist attacks outpaced leftist islamic terrorist attacks. 2x many ri @url,fearful_hateful,indirect,anger_fear_shock_indifference_sadness,origin,muslims,origin_muslims,two thousand seventeen right wing terrorist attacks outpaced leftist islamic terrorist attacks x many ri,14
103,3304,3305,2017: dare call shithole countries! look beautiful (in vacation resort).nn2018: loo @url,normal,indirect,sadness_disgust,origin,other,origin_other,number dare call shithole countries look beautiful vacation resort nn2018 loo,2
104,824,825,2018 know people sitting jail right weed. shit breaks heart. shithole country.,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,other,origin_other,two thousand eighteen know people sitting jail right weed shit breaks heart shithole country ,1
105,112,113,2018 yall dont know calling asians ching chong racist,offensive,indirect,indifference_disgust,origin,muslims,origin_muslims,two thousand eighteen yall dont know calling asians ching chong racist,21
106,5011,5012,23 mongoloid  @url,offensive,indirect,confusion_sadness,origin,special_needs,origin_special_needs,twenty three mongoloid,5
107,346,347,24 hours swakopmund namibia #travel #africa #ttot @url,normal,indirect,anger_sadness_shock_indifference_disgust,origin,other,origin_other,twenty four hours swakopmund namibia travel africa ot,3
108,5237,5238,27th retard asylum day. 28th gods jet day mix hopefuls since long crossed finish line -20 @url,normal,indirect,sadness_shock,other,special_needs,other_special_needs,two th retard asylum day eight gods jet day mix hopefuls since long crossed finish line number,25
109,4674,4675,2nd &amp; 22 eddie fucking dumbass retard gran decides run bubble screen. fire dumb ass.,offensive,indirect,sadness_indifference,disability,special_needs,disability_special_needs,two twenty two eddie fucking dumbass retard gran decides run bubble screen fire dumb ass ,15
110,4326,4327,2v2s literally retard dude deadasss,offensive,indirect,sadness_indifference,disability,special_needs,disability_special_needs,two v2s literally retard dude deadass,11
111,27,28,3 people shot armed police officers dumb twat @url,abusive_offensive,direct,anger_disgust,gender,women,gender_women,three people shot armed police officers dumb twat,8
112,1970,1971,3) america legal citizens labeled racists nazisbut illegal aliens called dreamers.,offensive,indirect,anger_confusion_fear_indifference_disgust,origin,other,origin_other,number america legal citizens labeled racists nazisbut illegal aliens called dreamers ,24
113,830,831,3. food bank director separated requests 2 stacks: locals &amp; immigrants. church respond? 1 @url,fearful_normal,indirect,sadness_disgust,origin,individual,origin_individual,number food bank director separated requests two stacks locals immigrants church respond one,8
114,1757,1758,3rd 1. fucking coaches learn snap shot gun??? fucking retard #pokes,offensive,indirect,sadness_disgust,disability,special_needs,disability_special_needs,three number fucking coaches learn snap shot gun fucking retard pokes,9
115,4092,4093,3rd grade talent show performing toxic' kid yelled faggot! @url,disrespectful_normal,indirect,anger_confusion_sadness_indifference_disgust,other,other,other_other,three grade talent show performing toxic kid yelled faggot ,19
116,2969,2970,4 palang need sleep .nnbrain u fucking retard.nnwhy u like dis?,offensive,indirect,anger_confusion_fear_shock_sadness,disability,special_needs,disability_special_needs,four palang need sleep nnbrain fucking retard nnwhy like dis ,17
117,4407,4408,4 shots julio later feel retarded,normal,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs,disability_special_needs,four shots julio later feel retarded,11
118,4437,4438,4 sleep nigger might sick @user @user @user,offensive,indirect,anger_fear_shock_indifference_sadness,sexual_orientation,other,sexual_orientation_other,four sleep nigger might sick,7
119,1055,1056,41 years ago today child born. parents feared worst (for second thought mongoloid). @url,offensive,indirect,sadness_disgust,origin,individual,origin_individual,forty one years ago today child born parents feared worst second thought mongoloid ,4
120,1710,1711,4nwhen poor little kiddos get sicknwe want hospitals span-and-spic.nthis bond gives new chitsnfor tec @url,normal,indirect,indifference_disgust,origin,hispanics,origin_hispanics,four nwhen poor little kiddos get sicknwe want hospitals span spic nthis bond gives new chitsnfor tec,16
121,2253,2254,6 games row i've joined progress fuck cunt,offensive,indirect,sadness_shock_indifference_disgust,gender,women,gender_women,six games row joined progress fuck cunt,7
122,4148,4149,65 year old uncle went celebrate granddaughters birthday last night got mongy broke nose ahahah,normal,indirect,anger_shock,other,other,other_other,sixty five year old uncle went celebrate granddaughters birthday last night got mongy broke nose ahahah,1
123,5260,5261,8 months dvla finally reissued license atos twat reported me.nnvindication ,fearful,indirect,anger_fear_indifference_sadness,gender,other,gender_other,eight months dvla finally reissued license atos twat reported nnvindication,14
124,4324,4325,9) getting visan10) glad finally get shithole country understand people still live bar @url,offensive_hateful,indirect,sadness_disgust,origin,other,origin_other,number getting visan10 glad finally get shithole country understand people still live bar,1
125,5431,5432,: [i honestly hate get angry people say chink ching chong cing cong whatever fuck @url,offensive,indirect,anger_indifference,other,other,other_other, honestly hate get angry people say chink ching chong cing cong whatever fuck,21
126,4492,4493,: h-nnadam : ling ling ching chong eat dogs,offensive,indirect,confusion_indifference,origin,individual,origin_individual,h nnadam ling ling ching chong eat dogs,0
127,4091,4092,: must retarded think we're fuckingnnme : @url,hateful_disrespectful,indirect,anger_indifference,disability,special_needs,disability_special_needs,must retarded think fuckingnnme,18
128,637,638,=d =d =d =d =dni want bloke site (the chinaman)!!! lol =d =d =d @url,normal,indirect,anger_confusion_sadness_shock_indifference,origin,other,origin_other, dni want bloke site chinaman lol ,22
129,4750,4751,@url &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; anyone retarded build pc wants one,offensive,indirect,indifference_disgust,origin,special_needs,origin_special_needs, anyone retarded build wants one,11
130,511,512,@url debating different economic systems models go full retard claiming hy @url,offensive,indirect,anger_confusion_shock_indifference_disgust,disability,special_needs,disability_special_needs,debating different economic systems models full retard claiming hy,8
131,1694,1695,@url follow faggot something @user,offensive,indirect,anger_sadness,sexual_orientation,other,sexual_orientation_other,follow faggot something,7
132,664,665,@url hear sick leftists aka democrats want bring migrants/illegal @url,offensive,indirect,anger_sadness,other,special_needs,other_special_needs,hear sick leftists aka democrats want bring migrants illegal,8
133,5263,5264,@url steve guy fucking retard.,offensive,indirect,sadness_disgust,disability,special_needs,disability_special_needs,steve guy fucking retard ,7
134,5427,5428,@url webcam weeb gamenretard starter pack,hateful,indirect,anger_confusion_shock_indifference_disgust,origin,other,origin_other,webcam weeb gamenretard starter pack,22
135,4353,4354,@user,offensive_normal,indirect,sadness_indifference,other,other,other_other,,5
136,1959,1960,@user  boy bout retarded,offensive,direct,anger_fear_shock_sadness_disgust,other,special_needs,other_special_needs,boy bout retarded,7
137,5525,5526,@user  cunt played nakamura winger anaw refusal play 442,offensive,indirect,sadness_disgust,other,women,other_women,cunt played nakamura winger anaw refusal play four hundred forty two,13
138,5267,5268,@user  definitely will. country shithole,offensive,indirect,anger_confusion_sadness_shock_indifference,other,other,other_other,definitely country shithole,7
139,3550,3551,@user  ya twat ! nnalthough may download it...looks like handy stuff know... especially condition ,disrespectful_normal,indirect,confusion_sadness_shock_indifference_disgust,gender,women,gender_women,ya twat nnalthough may download looks like handy stuff know especially condition,23
140,3797,3798,@user #elisoignaciosilvaartistaplastico #white #blanco #beautiful black #negro @url,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,individual,origin_individual,eliso ignacio silva artista plastico white blanco beautiful black negro,4
141,4449,4450,@user #qanonn@user let's hear america almost became shithole country 8 years humiliating @url,offensive_disrespectful,indirect,indifference_disgust,other,other,other_other,qa nonn let hear america almost became shithole country eight years humiliating,1
142,3061,3062,@user #twt2018 lgbtq people seeking asylum uk told go back country - pretend @url,fearful_hateful,indirect,anger_sadness,sexual_orientation,other,sexual_orientation_other,twt2018 lgbtq people seeking asylum told back country pretend,24
143,2658,2659,@user &amp; hysterical #feminazi cabal reached new low.,offensive,indirect,anger_sadness_shock_indifference_disgust,gender,women,gender_women, hysterical feminazi cabal reached new low ,3
