,Unnamed: 0,Unnamed: 0.1,HITId,tweet,sentiment,directness,annotator_sentiment,target,group,label_mix,clean_tw,cluster,cluster_pred
0,0,5517,5518, called son retarded call son that... @url,offensive,indirect,anger_fear_shock_indifference_disgust,other,special_needs,other_special_needs,called son retarded call son ,11,11
1,1,460,461, either crazy retarded thin line separates could ,normal,indirect,anger_confusion_fear_shock_disgust,gender,women,gender_women,either crazy retarded thin line separates could,11,20
2,2,2976,2977, gfs sister high offered tight pussy amazing tight fresh cunt @url,offensive_disrespectful,indirect,sadness_disgust,gender,women,gender_women,gfs sister high offered tight pussy amazing tight fresh cunt,19,16
3,3,102,103, gimme break gimme break. break piece fat retard  @url,disrespectful,indirect,indifference_disgust,other,other,other_other,gimme break gimme break break piece fat retard,19,6
4,4,2139,2140, groupforsissiesandfaggots: another sissy faggot crave attention @user ready suck big... @url,offensive,indirect,shock_indifference,sexual_orientation,gay,sexual_orientation_gay,groupforsissiesandfaggots another sissy faggot crave attention ready suck big ,9,10
5,5,2543,2544, people retarded af! call 12 talking wreck ,normal,indirect,anger_sadness_shock_indifference_disgust,other,special_needs,other_special_needs,people retarded call twelve talking wreck,11,20
6,6,1886,1887, time de ficar mongol @url,normal,indirect,anger_confusion,origin,other,origin_other,time ficar mongol,5,17
7,7,3226,3227, trump definitely retarded,hateful_disrespectful,indirect,anger_sadness,disability,special_needs,disability_special_needs,trump definitely retarded,11,11
8,8,1037,1038, tweeters love words (30 days): spooky fuck play fate moist  bitch choice cunt whore coochie genuine cock @url,offensive,indirect,sadness_indifference,gender,women,gender_women,tweeters love words number days spooky fuck play fate moist bitch choice cunt whore coochie genuine cock,15,26
9,9,777,778,#737 what's 8-letter word retarded'? -cavemanengi,disrespectful_normal,indirect,anger_indifference,other,special_needs,other_special_needs, number number letter word retarded cavemanengi,11,26
