,Unnamed: 0,HITId,tweet,sentiment,directness,annotator_sentiment,target,group,label_mix,clean_tw,cluster
0,382,383, #justice : @user s'attarde sur la relation chaotique entre pouvoirs judiciaire et politique… @url,offensive,direct,sadness,origin,individual,origin_individual,justice attarde relation chaotique entre pouvoirs judiciaire politique,13
1,77,78, le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,abusive,direct,anger_fear,origin,left_wing_people,origin_left_wing_people, hashtag vague sonne enfin glas ideologie laxiste gauchiste predomine depuis annees ,4
2,1706,1707,#4novembre2018 le plus beau cadeau inattendu 00h10 mon président.@user s’attarde sur #tl des likes s… @url,offensive,direct,shock,origin,individual,origin_individual,quatre novembre2018 plus beau cadeau inattendu time number président attarde likes ,2
3,1764,1765,#aquarius il sera intéressant de voir ce que fera macron... terrorisme intellectuel des ong @url,abusive_disrespectful,direct,sadness,origin,other,origin_other,aqua i intéressant voir fera macron terrorisme intellectuel ong,13
4,1941,1942,#avortement les croisés contre-attaquent.… @url,disrespectful,direct,sadness,origin,other,origin_other,avortement croisés contre attaquent ,0
5,2545,2546,#belley - une jeune mère de famille convertie à l'islam condamnée à 5 ans de #prison ferme pour apologie du terrori… @url,offensive,direct,sadness,origin,other,origin_other,belle jeune mère famille convertie islam condamnée cinq ans prison ferme apologie terrori,7
6,2937,2938,#bresil exemple de #fakenews #gauchiste : ces sont les amerindiens eux-memes qui tuent les nouveaux-nes en les en @url,normal,direct,shock,origin,left_wing_people,origin_left_wing_people,b e exemple fakenews gauchiste amerindiens memes tuent nouveaux nes ,11
7,1302,1303,#cavous après 60 ans de sale nègre sale bougnoule sale melon sale arabe il est temps de parler un peu de racisme,offensive,direct,sadness,origin,other,origin_other,ca après soixante ans sale nègre sale bougnoule sale melon sale arabe temps parler peu racisme,5
8,53,54,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,fearful,direct,anger_confusion_fear_indifference_sadness,origin,other,origin_other, riche r demande politiques français gérer migrants quid dirigeants africains occupés ,14
9,2190,2191,#chemnitz des migrants de 9 ans menacent des écoliers avec des couteaux près de l’école charles darwin… @url,fearful_abusive,direct,indifference,origin,immigrants,origin_immigrants,chem itz migrants neuf ans menacent écoliers couteaux près école charles darwin,14
10,10,11,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,hateful,direct,sadness,origin,arabs,origin_arabs,duisburg quatre réfugiés arabes lardent coups couteau ado allemande enceinte cinq mois cru p,14
11,1749,1750,#economics #politics #franceinsoumise au juste qui est amandine picard? une sale arabe? une syria protégée de ses… @url,offensive,direct,sadness,origin,arabs,origin_arabs,economic politics france soumise juste amandine picard sale arabe syria protégée ,3
12,2960,2961,#ericzemmour juge marine le pen « d’islamo-gauchiste [...] qui menace l’identité française ». @url,abusive_normal,direct,sadness,other,individual,other_individual,ericzemmour juge marine pen « islamo gauchiste menace identité française » ,10
13,187,188,#europe #france grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent  @url,normal,direct,sadness,origin,immigrants,origin_immigrants,europe france grèce transferts réfugiés migrants vers continent accélèrent,14
